Station,Date,Salinity,Temperature,Chlorophyll_a,Turbidity,Density,Pressure
MI,2023-02-15,33.68,6.566,0,0.01,26.478,8.65
MI,2023-02-15,33.7,6.562,0,0.01,26.49,8.38
MI,2023-02-15,33.68,6.557,0,0.01,26.475,8.09
MI,2023-02-15,33.67,6.543,0,0.01,26.47,7.86
MI,2023-02-15,33.67,6.532,0,0.01,26.47,7.61
MI,2023-02-15,33.68,6.526,0,0.01,26.474,7.33
MI,2023-02-15,33.66,6.521,0,0.01,26.461,7.21
MI,2023-02-15,33.68,6.517,0,0.01,26.471,6.8
MI,2023-02-15,33.7,6.515,0,0.01,26.49,6.77
MI,2023-02-15,33.68,6.492,0,0.01,26.475,6.44
MI,2023-02-15,33.69,6.473,0,0.01,26.482,6.11
MI,2023-02-15,33.64,6.46,0,0.01,26.449,5.94
MI,2023-02-15,33.65,6.424,0,0.01,26.455,5.68
MI,2023-02-15,33.66,6.421,0,0.01,26.465,5.42
MI,2023-02-15,33.65,6.42,0,0.01,26.456,5.16
MI,2023-02-15,33.66,6.423,0,0.01,26.461,5
MI,2023-02-15,33.65,6.421,0,0.01,26.453,4.64
MI,2023-02-15,33.65,6.419,0,0.01,26.454,4.47
MI,2023-02-15,33.64,6.415,0,0.01,26.447,4.14
MI,2023-02-15,33.64,6.416,0,0.01,26.446,3.9
MI,2023-02-15,33.65,6.413,0,0.01,26.447,3.65
MI,2023-02-15,33.65,6.414,0,0.01,26.445,3.34
MI,2023-02-15,33.62,6.414,0,0.01,26.427,3.22
MI,2023-02-15,33.63,6.412,0,0.01,26.428,2.94
MI,2023-02-15,33.64,6.412,0,0.01,26.436,2.76
MI,2023-02-15,33.64,6.411,0,0.01,26.435,2.49
MI,2023-02-15,33.64,6.409,0,0.01,26.436,2.24
MI,2023-02-15,33.66,6.41,0,0.01,26.452,2.05
MI,2023-02-15,33.65,6.41,0,0.01,26.442,1.69
MI,2023-02-15,33.64,6.409,0,0.01,26.434,1.62
MI,2023-02-15,33.64,6.409,0,0.01,26.432,1.21
MI,2023-02-15,33.65,6.411,0,0.01,26.438,1.05
MI,2023-02-15,33.64,6.411,0,0.01,26.428,0.76
MI,2023-02-15,33.64,6.411,0,0.01,26.427,0.59
MI,2023-02-15,33.65,6.412,0,0.01,26.434,0.34
MI,2023-02-15,33.55,6.668,0,0.01,26.324,0.16
MI,2023-02-15,33.7,6.695,0,0.01,26.438,0.08
MI,2023-02-15,33.65,6.465,0,0.01,26.43,0.44
MI,2023-02-15,33.63,6.419,0,0.01,26.421,0.8
MI,2023-02-15,33.65,6.411,0,0.01,26.438,1.11
MI,2023-02-15,33.64,6.409,0,0.01,26.433,1.4
MI,2023-02-15,33.64,6.409,0,0.01,26.434,1.79
MI,2023-02-15,33.63,6.411,0,0.01,26.425,2.13
MI,2023-02-15,33.64,6.411,0,0.01,26.435,2.39
MI,2023-02-15,33.65,6.411,0,0.01,26.445,2.68
MI,2023-02-15,33.67,6.41,0,0.01,26.464,2.83
MI,2023-02-15,33.65,6.411,0,0.01,26.447,3.15
MI,2023-02-15,33.64,6.416,0,0.01,26.444,3.61
MI,2023-02-15,33.67,6.416,0,0.01,26.463,3.79
MI,2023-02-15,33.67,6.416,0,0.01,26.464,4.16
MI,2023-02-15,33.67,6.415,0,0.01,26.466,4.37
MI,2023-02-15,33.66,6.416,0,0.01,26.467,4.73
MI,2023-02-15,33.65,6.417,0,0.01,26.458,5.02
MI,2023-02-15,33.66,6.418,0,0.01,26.467,5.27
MI,2023-02-15,33.64,6.417,0,0.01,26.452,5.68
MI,2023-02-15,33.66,6.421,0,0.01,26.467,5.97
MI,2023-02-15,33.66,6.443,0,0.01,26.466,6.23
MI,2023-02-15,33.68,6.464,0,0.01,26.483,6.46
MI,2023-02-15,33.68,6.481,0,0.01,26.477,6.69
MI,2023-02-15,33.67,6.493,0,0.01,26.467,6.93
MI,2023-02-15,33.66,6.502,0,0.01,26.46,7.19
MI,2023-02-15,33.67,6.507,0,0.01,26.474,7.47
MI,2023-02-15,33.68,6.511,0,0.01,26.481,7.79
MI,2023-02-15,33.65,6.516,0,0.01,26.46,8.01
MI,2023-02-15,33.66,6.527,0,0.01,26.469,8.4
MI,2023-02-15,33.67,6.534,0,0.01,26.473,8.7
MI,2023-02-15,33.69,6.547,0,0.01,26.488,8.83
MI,2023-02-15,33.68,6.559,0,0.01,26.478,9.23
MI,2023-02-15,33.67,6.579,0,0.01,26.47,9.44
MI,2023-02-15,33.67,6.603,0,0.01,26.468,9.96
MI,2023-02-15,33.7,6.624,0,0.01,26.492,9.9
MI,2023-02-15,33.71,6.65,0,0.01,26.496,10.35
MI,2023-02-15,33.76,6.678,0,0.01,26.533,10.54
MI,2023-02-15,33.74,6.71,0,0.01,26.514,10.94
MI,2023-02-15,33.77,6.721,0,0.01,26.54,11.17
MI,2023-02-15,33.78,6.733,0,0.01,26.548,11.53
MI,2023-02-15,33.81,6.739,0,0.01,26.57,11.92
MI,2023-02-15,33.82,6.747,0,0.01,26.581,12.11
MI,2023-02-15,33.84,6.751,0,0.01,26.594,11.89
MI,2023-02-15,33.84,6.754,0,0.01,26.59,11.71
MI,2023-02-15,33.84,6.751,0,0.01,26.592,11.47
MI,2023-02-15,33.83,6.741,0,0.01,26.583,11.16
MI,2023-02-15,33.83,6.738,0,0.01,26.584,10.95
MI,2023-02-15,33.8,6.728,0,0.01,26.558,10.77
MI,2023-02-15,33.8,6.724,0,0.01,26.561,10.64
MI,2023-02-15,33.8,6.713,0,0.01,26.561,10.4
MI,2023-02-15,33.79,6.702,0,0.01,26.553,10.18
MI,2023-02-15,33.78,6.688,0,0.01,26.548,10.08
MI,2023-02-15,33.72,6.649,0,0.01,26.504,9.92
MI,2023-02-15,33.71,6.633,0,0.01,26.501,9.74
MI,2023-02-15,33.72,6.63,0,0.01,26.502,9.54
MI,2023-02-15,33.72,6.606,0,0.01,26.506,9.34
MI,2023-02-15,33.69,6.584,0,0.01,26.482,9.29
MI,2023-02-15,33.7,6.57,0,0.01,26.493,8.96
MI,2023-02-15,33.7,6.569,0,0.01,26.494,8.89
MI,2023-02-15,33.67,6.54,0,0.01,26.475,8.54
MI,2023-02-15,33.7,6.537,0,0.01,26.494,8.32
MI,2023-02-15,33.69,6.531,0,0.01,26.49,8.12
MI,2023-02-15,33.69,6.52,0,0.01,26.491,7.95
MI,2023-02-15,33.67,6.52,0,0.01,26.472,7.63
MI,2023-02-15,33.69,6.521,0,0.01,26.488,7.51
MI,2023-02-15,33.66,6.516,0,0.01,26.465,7.26
MI,2023-02-15,33.68,6.514,0,0.01,26.475,7.14
MI,2023-02-15,33.69,6.517,0,0.01,26.481,6.98
MI,2023-02-15,33.67,6.514,0,0.01,26.465,6.78
MI,2023-02-15,33.68,6.513,0,0.01,26.474,6.65
MI,2023-02-15,33.67,6.509,0,0.01,26.468,6.46
MI,2023-02-15,33.68,6.505,0,0.01,26.471,6.31
MI,2023-02-15,33.68,6.505,0,0.01,26.471,6.16
MI,2023-02-15,33.69,6.502,0,0.01,26.482,6.08
MI,2023-02-15,33.67,6.465,0,0.01,26.471,5.81
MI,2023-02-15,33.7,6.432,0,0.01,26.5,5.63
MI,2023-02-15,33.65,6.418,0,0.01,26.459,5.52
MI,2023-02-15,33.65,6.418,0,0.01,26.458,5.3
MI,2023-02-15,33.67,6.417,0,0.01,26.477,5.21
MI,2023-02-15,33.65,6.418,0,0.01,26.458,5.13
MI,2023-02-15,33.65,6.418,0,0.01,26.457,4.9
MI,2023-02-15,33.64,6.419,0,0.01,26.447,4.84
MI,2023-02-15,33.67,6.42,0,0.01,26.472,4.69
MI,2023-02-15,33.66,6.42,0,0.01,26.462,4.42
MI,2023-02-15,33.67,6.419,0,0.01,26.471,4.33
MI,2023-02-15,33.65,6.421,0,0.01,26.451,4.08
MI,2023-02-15,33.65,6.421,0,0.01,26.45,3.94
MI,2023-02-15,33.66,6.421,0,0.01,26.458,3.82
MI,2023-02-15,33.66,6.419,0,0.01,26.459,3.53
MI,2023-02-15,33.69,6.418,0,0.01,26.477,3.36
MI,2023-02-15,33.68,6.416,0,0.01,26.469,3.24
MI,2023-02-15,33.66,6.412,0,0.01,26.454,2.94
MI,2023-02-15,33.65,6.41,0,0.01,26.447,2.83
MI,2023-02-15,33.66,6.409,0,0.01,26.455,2.65
MI,2023-02-15,33.66,6.409,0,0.01,26.454,2.4
MI,2023-02-15,33.66,6.409,0,0.01,26.454,2.26
MI,2023-02-15,33.65,6.406,0,0.01,26.447,2.09
MI,2023-02-15,33.66,6.404,0,0.01,26.448,1.96
MI,2023-02-15,33.63,6.404,0,0.01,26.43,1.82
MI,2023-02-15,33.63,6.404,0,0.01,26.429,1.66
MI,2023-02-15,33.65,6.407,0,0.01,26.444,1.5
MI,2023-02-15,33.65,6.408,0,0.01,26.443,1.52
MI,2023-02-15,33.65,6.41,0,0.01,26.44,1.35
MI,2023-02-15,33.65,6.41,0,0.01,26.439,1.07
MI,2023-02-15,33.66,6.409,0,0.01,26.449,1.15
MI,2023-02-15,33.65,6.408,0,0.01,26.44,0.9
MI,2023-02-15,33.66,6.409,0,0.01,26.448,0.8
MI,2023-02-15,33.67,6.409,0,0.01,26.456,0.65
MI,2023-02-15,33.64,6.411,0,0.01,26.426,0.38
MI,2023-02-15,33.63,6.43,0,0.01,26.417,0.1
MI,2023-02-15,33.66,6.419,0,0.01,26.445,0.29
MI,2023-02-15,33.66,6.412,0,0.01,26.444,0.69
MI,2023-02-15,33.65,6.411,0,0.01,26.438,1.01
MI,2023-02-15,33.66,6.409,0,0.01,26.45,1.26
MI,2023-02-15,33.65,6.408,0,0.01,26.442,1.36
MI,2023-02-15,33.66,6.404,0,0.01,26.448,1.8
MI,2023-02-15,33.64,6.404,0,0.01,26.44,2.03
MI,2023-02-15,33.67,6.404,0,0.01,26.458,2.24
MI,2023-02-15,33.67,6.403,0,0.01,26.461,2.56
MI,2023-02-15,33.66,6.404,0,0.01,26.452,2.88
MI,2023-02-15,33.64,6.405,0,0.01,26.443,3.06
MI,2023-02-15,33.65,6.407,0,0.01,26.452,3.43
MI,2023-02-15,33.65,6.408,0,0.01,26.452,3.74
MI,2023-02-15,33.65,6.409,0,0.01,26.452,3.91
MI,2023-02-15,33.66,6.411,0,0.01,26.461,4.28
MI,2023-02-15,33.66,6.412,0,0.01,26.46,4.37
MI,2023-02-15,33.66,6.412,0,0.01,26.462,4.82
MI,2023-02-15,33.66,6.413,0,0.01,26.462,5.06
MI,2023-02-15,33.66,6.414,0,0.01,26.462,5.24
MI,2023-02-15,33.65,6.415,0,0.01,26.462,5.55
MI,2023-02-15,33.65,6.415,0,0.01,26.463,5.7
MI,2023-02-15,33.66,6.428,0,0.01,26.469,5.87
MI,2023-02-15,33.68,6.442,0,0.01,26.484,6.1
MI,2023-02-15,33.66,6.451,0,0.01,26.468,6.26
MI,2023-02-15,33.66,6.453,0,0.01,26.467,6.57
MI,2023-02-15,33.66,6.461,0,0.01,26.469,6.73
MI,2023-02-15,33.67,6.464,0,0.01,26.476,6.97
MI,2023-02-15,33.7,6.474,0,0.01,26.495,7.23
MI,2023-02-15,33.67,6.491,0,0.01,26.471,7.29
MI,2023-02-15,33.65,6.505,0,0.01,26.46,7.66
MI,2023-02-15,33.66,6.508,0,0.01,26.466,7.75
MI,2023-02-15,33.67,6.511,0,0.01,26.474,8.16
MI,2023-02-15,33.66,6.514,0,0.01,26.462,8.21
MI,2023-02-15,33.67,6.526,0,0.01,26.471,8.6
MI,2023-02-15,33.68,6.534,0,0.01,26.482,8.77
MI,2023-02-15,33.67,6.541,0,0.01,26.476,9.05
MI,2023-02-15,33.69,6.548,0,0.01,26.488,9.16
MI,2023-02-15,33.69,6.557,0,0.01,26.49,9.39
MI,2023-02-15,33.66,6.588,0,0.01,26.462,9.65
MI,2023-02-15,33.68,6.609,0,0.01,26.479,9.9
MI,2023-02-15,33.68,6.635,0,0.01,26.474,10.06
MI,2023-02-15,33.72,6.649,0,0.01,26.505,10.22
MI,2023-02-15,33.75,6.677,0,0.01,26.525,10.53
MI,2023-02-15,33.76,6.684,0,0.01,26.536,10.63
MI,2023-02-15,33.77,6.709,0,0.01,26.541,11.03
MI,2023-02-15,33.78,6.721,0,0.01,26.549,11.23
MI,2023-02-15,33.81,6.746,0,0.01,26.571,11.58
MI,2023-02-15,33.83,6.754,0,0.01,26.582,11.81
MI,2023-02-15,33.83,6.758,0,0.01,26.588,12.06
MI,2023-02-15,33.83,6.759,0,0.01,26.587,12.08
MI,2023-02-15,33.84,6.759,0,0.01,26.594,11.6
MI,2023-02-15,33.83,6.758,0,0.01,26.586,11.46
MI,2023-02-15,33.85,6.754,0,0.01,26.597,11.18
MI,2023-02-15,33.83,6.754,0,0.01,26.579,11.16
MI,2023-02-15,33.85,6.754,0,0.01,26.596,10.92
MI,2023-02-15,33.83,6.75,0,0.01,26.582,10.82
MI,2023-02-15,33.8,6.728,0,0.01,26.557,10.58
MI,2023-02-15,33.8,6.722,0,0.01,26.562,10.37
MI,2023-02-15,33.79,6.712,0,0.01,26.553,10.21
MI,2023-02-15,33.76,6.71,0,0.01,26.528,10.03
MI,2023-02-15,33.79,6.704,0,0.01,26.55,9.93
MI,2023-02-15,33.77,6.685,0,0.01,26.541,9.76
MI,2023-02-15,33.77,6.678,0,0.01,26.538,9.62
MI,2023-02-15,33.79,6.653,0,0.01,26.56,9.41
MI,2023-02-15,33.7,6.625,0,0.01,26.488,9.27
MI,2023-02-15,33.72,6.612,0,0.01,26.508,9.01
MI,2023-02-15,33.71,6.605,0,0.01,26.497,8.95
MI,2023-02-15,33.7,6.589,0,0.01,26.493,8.72
MI,2023-02-15,33.7,6.568,0,0.01,26.493,8.49
MI,2023-02-15,33.69,6.556,0,0.01,26.486,8.29
MI,2023-02-15,33.72,6.539,0,0.01,26.509,8.13
MI,2023-02-15,33.67,6.529,0,0.01,26.474,7.91
MI,2023-02-15,33.69,6.528,0,0.01,26.483,7.83
MI,2023-02-15,33.7,6.519,0,0.01,26.49,7.57
MI,2023-02-15,33.7,6.519,0,0.01,26.49,7.43
MI,2023-02-15,33.68,6.514,0,0.01,26.476,7.24
MI,2023-02-15,33.67,6.511,0,0.01,26.469,7.11
MI,2023-02-15,33.69,6.511,0,0.01,26.486,7.03
MI,2023-02-15,33.69,6.507,0,0.01,26.481,6.93
MI,2023-02-15,33.68,6.503,0,0.01,26.475,6.71
MI,2023-02-15,33.69,6.506,0,0.01,26.48,6.49
MI,2023-02-15,33.69,6.506,0,0.01,26.48,6.49
MI,2023-02-15,33.66,6.508,0,0.01,26.459,6.2
MI,2023-02-15,33.69,6.506,0,0.01,26.478,6
MI,2023-02-15,33.67,6.505,0,0.01,26.461,5.93
MI,2023-02-15,33.67,6.458,0,0.01,26.467,5.64
MI,2023-02-15,33.68,6.476,0,0.01,26.477,5.59
MI,2023-02-15,33.68,6.45,0,0.01,26.473,5.36
MI,2023-02-15,33.67,6.432,0,0.01,26.472,5.25
MI,2023-02-15,33.65,6.422,0,0.01,26.454,5.18
MI,2023-02-15,33.68,6.416,0,0.01,26.476,4.95
MI,2023-02-15,33.67,6.412,0,0.01,26.471,4.84
MI,2023-02-15,33.66,6.409,0,0.01,26.464,4.56
MI,2023-02-15,33.64,6.409,0,0.01,26.446,4.53
MI,2023-02-15,33.68,6.413,0,0.01,26.477,4.39
MI,2023-02-15,33.66,6.408,0,0.01,26.462,4.09
MI,2023-02-15,33.66,6.408,0,0.01,26.462,4.08
MI,2023-02-15,33.66,6.413,0,0.01,26.457,3.84
MI,2023-02-15,33.64,6.407,0,0.01,26.444,3.67
MI,2023-02-15,33.67,6.404,0,0.01,26.464,3.55
MI,2023-02-15,33.67,6.404,0,0.01,26.463,3.4
MI,2023-02-15,33.65,6.403,0,0.01,26.445,3.15
MI,2023-02-15,33.65,6.403,0,0.01,26.445,3.09
MI,2023-02-15,33.63,6.404,0,0.01,26.434,2.84
MI,2023-02-15,33.67,6.403,0,0.01,26.461,2.67
MI,2023-02-15,33.65,6.403,0,0.01,26.443,2.56
MI,2023-02-15,33.65,6.402,0,0.01,26.443,2.25
MI,2023-02-15,33.65,6.402,0,0.01,26.442,2.02
MI,2023-02-15,33.65,6.402,0,0.01,26.441,1.91
MI,2023-02-15,33.64,6.402,0,0.01,26.431,1.64
MI,2023-02-15,33.63,6.403,0,0.01,26.429,1.43
MI,2023-02-15,33.64,6.408,0,0.01,26.432,1.11
MI,2023-02-15,33.65,6.403,0,0.01,26.436,0.87
MI,2023-02-15,33.65,6.4,0,0.01,26.438,0.66
MI,2023-02-15,33.59,6.452,0,0.01,26.381,0.4
MI,2023-02-15,33.67,6.435,0,0.01,26.448,0.15
MI,2023-03-16,33.66,5.179,0,0.01,26.591,0.18
MI,2023-03-16,33.63,5.243,0,0.01,26.561,0.25
MI,2023-03-16,33.62,5.252,0,0.01,26.553,0.37
MI,2023-03-16,33.62,5.255,0,0.01,26.551,0.6
MI,2023-03-16,33.62,5.249,0,0.01,26.558,1.07
MI,2023-03-16,33.62,5.248,0,0.01,26.56,1.19
MI,2023-03-16,33.63,5.254,0,0.01,26.565,1.59
MI,2023-03-16,33.64,5.254,0,0.01,26.577,2.22
MI,2023-03-16,33.65,5.253,0,0.01,26.589,2.61
MI,2023-03-16,33.64,5.252,0,0.01,26.582,2.9
MI,2023-03-16,33.64,5.25,0,0.01,26.584,2.99
MI,2023-03-16,33.63,5.248,0,0.01,26.577,3.18
MI,2023-03-16,33.63,5.251,0,0.01,26.575,3.34
MI,2023-03-16,33.64,5.251,0,0.01,26.586,3.6
MI,2023-03-16,33.63,5.252,0,0.01,26.577,3.87
MI,2023-03-16,33.63,5.251,0,0.01,26.579,4.2
MI,2023-03-16,33.65,5.248,0,0.01,26.601,4.36
MI,2023-03-16,33.66,5.242,0,0.01,26.607,4.54
MI,2023-03-16,33.65,5.24,0,0.01,26.601,4.89
MI,2023-03-16,33.66,5.243,0,0.01,26.609,5.21
MI,2023-03-16,33.63,5.256,0,0.01,26.588,5.37
MI,2023-03-16,33.64,5.26,0,0.01,26.595,5.67
MI,2023-03-16,33.65,5.276,0,0.01,26.6,5.9
MI,2023-03-16,33.66,5.284,0,0.01,26.612,6.28
MI,2023-03-16,33.67,5.299,0,0.01,26.618,6.62
MI,2023-03-16,33.7,5.324,0,0.01,26.641,6.85
MI,2023-03-16,33.75,5.337,0,0.01,26.676,7.08
MI,2023-03-16,33.74,5.343,0,0.01,26.671,7.3
MI,2023-03-16,33.76,5.346,0,0.01,26.687,7.32
MI,2023-03-16,33.74,5.352,0,0.01,26.672,7.35
MI,2023-03-16,33.73,5.352,0,0.01,26.663,7.36
MI,2023-03-16,33.74,5.353,0,0.01,26.671,7.3
MI,2023-03-16,33.74,5.353,0,0.01,26.672,7.37
MI,2023-03-16,33.73,5.353,0,0.01,26.662,7.33
MI,2023-03-16,33.73,5.351,0,0.01,26.665,7.42
MI,2023-03-16,33.73,5.35,0,0.01,26.665,7.33
MI,2023-03-16,33.73,5.35,0,0.01,26.668,7.91
MI,2023-03-16,33.75,5.352,0,0.01,26.684,7.94
MI,2023-03-16,33.75,5.354,0,0.01,26.682,7.88
MI,2023-03-16,33.74,5.35,0,0.01,26.679,8.4
MI,2023-03-16,33.74,5.352,0,0.01,26.679,8.92
MI,2023-03-16,33.74,5.353,0,0.01,26.68,9.38
MI,2023-03-16,33.74,5.351,0,0.01,26.684,9.77
MI,2023-03-16,33.74,5.35,0,0.01,26.686,10.04
MI,2023-03-16,33.74,5.351,0,0.01,26.687,10.48
MI,2023-03-16,33.74,5.353,0,0.01,26.686,10.9
MI,2023-03-16,33.74,5.353,0,0.01,26.688,11.24
MI,2023-03-16,33.73,5.353,0,0.01,26.68,11.47
MI,2023-03-16,33.73,5.355,0,0.01,26.679,11.75
MI,2023-03-16,33.76,5.353,0,0.01,26.708,11.73
MI,2023-03-16,33.76,5.354,0,0.01,26.707,11.61
MI,2023-03-16,33.74,5.353,0,0.01,26.688,11.23
MI,2023-03-16,33.74,5.353,0,0.01,26.688,11.23
MI,2023-03-16,33.74,5.353,0,0.01,26.687,11.08
MI,2023-03-16,33.74,5.353,0,0.01,26.687,11.12
MI,2023-03-16,33.74,5.354,0,0.01,26.686,11.01
MI,2023-03-16,33.74,5.354,0,0.01,26.684,10.65
MI,2023-03-16,33.73,5.353,0,0.01,26.675,10.36
MI,2023-03-16,33.74,5.353,0,0.01,26.683,9.97
MI,2023-03-16,33.74,5.353,0,0.01,26.681,9.54
MI,2023-03-16,33.76,5.353,0,0.01,26.698,9.39
MI,2023-03-16,33.76,5.354,0,0.01,26.696,9.11
MI,2023-03-16,33.73,5.354,0,0.01,26.667,8.71
MI,2023-03-16,33.74,5.354,0,0.01,26.675,8.38
MI,2023-03-16,33.76,5.355,0,0.01,26.69,7.93
MI,2023-03-16,33.76,5.355,0,0.01,26.689,7.62
MI,2023-03-16,33.74,5.354,0,0.01,26.67,7.27
MI,2023-03-16,33.73,5.353,0,0.01,26.661,6.94
MI,2023-03-16,33.77,5.348,0,0.01,26.691,6.64
MI,2023-03-16,33.74,5.343,0,0.01,26.668,6.5
MI,2023-03-16,33.71,5.331,0,0.01,26.642,6.23
MI,2023-03-16,33.73,5.332,0,0.01,26.657,5.92
MI,2023-03-16,33.73,5.327,0,0.01,26.662,5.82
MI,2023-03-16,33.67,5.32,0,0.01,26.613,5.65
MI,2023-03-16,33.7,5.309,0,0.01,26.63,5.29
MI,2023-03-16,33.68,5.286,0,0.01,26.624,5.14
MI,2023-03-16,33.67,5.254,0,0.01,26.615,4.87
MI,2023-03-16,33.66,5.249,0,0.01,26.61,4.6
MI,2023-03-16,33.66,5.251,0,0.01,26.608,4.5
MI,2023-03-16,33.64,5.253,0,0.01,26.586,4.2
MI,2023-03-16,33.64,5.25,0,0.01,26.587,3.77
MI,2023-03-16,33.66,5.248,0,0.01,26.597,3.53
MI,2023-03-16,33.65,5.245,0,0.01,26.589,3.1
MI,2023-03-16,33.65,5.243,0,0.01,26.59,2.95
MI,2023-03-16,33.65,5.245,0,0.01,26.587,2.65
MI,2023-03-16,33.65,5.247,0,0.01,26.584,2.33
MI,2023-03-16,33.64,5.255,0,0.01,26.576,2.09
MI,2023-03-16,33.63,5.259,0,0.01,26.57,1.69
MI,2023-03-16,33.63,5.258,0,0.01,26.57,1.5
MI,2023-03-16,33.63,5.258,0,0.01,26.569,1.13
MI,2023-03-16,33.65,5.254,0,0.01,26.581,0.92
MI,2023-03-16,33.63,5.255,0,0.01,26.561,0.7
MI,2023-03-16,33.64,5.257,0,0.01,26.567,0.46
MI,2023-03-16,33.63,5.259,0,0.01,26.564,0.21
MI,2023-03-16,33.61,5.267,0,0.01,26.547,0.12
MI,2023-03-16,33.33,5.267,0,0.01,26.32,0.06
MI,2023-03-16,33.62,5.273,0,0.01,26.551,0.2
MI,2023-03-16,33.62,5.27,0,0.01,26.555,0.41
MI,2023-03-16,33.61,5.268,0,0.01,26.549,0.7
MI,2023-03-16,33.63,5.266,0,0.01,26.561,0.99
MI,2023-03-16,33.63,5.264,0,0.01,26.564,1.23
MI,2023-03-16,33.62,5.263,0,0.01,26.556,1.43
MI,2023-03-16,33.63,5.262,0,0.01,26.568,1.73
MI,2023-03-16,33.64,5.254,0,0.01,26.576,1.93
MI,2023-03-16,33.64,5.248,0,0.01,26.583,2.31
MI,2023-03-16,33.65,5.245,0,0.01,26.586,2.41
MI,2023-03-16,33.65,5.246,0,0.01,26.586,2.66
MI,2023-03-16,33.64,5.247,0,0.01,26.586,2.83
MI,2023-03-16,33.64,5.25,0,0.01,26.585,3.15
MI,2023-03-16,33.65,5.252,0,0.01,26.593,3.35
MI,2023-03-16,33.64,5.254,0,0.01,26.583,3.63
MI,2023-03-16,33.66,5.252,0,0.01,26.604,3.81
MI,2023-03-16,33.66,5.251,0,0.01,26.606,4.04
MI,2023-03-16,33.65,5.251,0,0.01,26.598,4.29
MI,2023-03-16,33.65,5.254,0,0.01,26.595,4.44
MI,2023-03-16,33.65,5.26,0,0.01,26.6,4.68
MI,2023-03-16,33.65,5.265,0,0.01,26.596,4.83
MI,2023-03-16,33.67,5.264,0,0.01,26.615,4.89
MI,2023-03-16,33.68,5.26,0,0.01,26.619,4.83
MI,2023-03-16,33.66,5.263,0,0.01,26.609,5.3
MI,2023-03-16,33.66,5.261,0,0.01,26.612,5.53
MI,2023-03-16,33.66,5.255,0,0.01,26.609,5.73
MI,2023-03-16,33.66,5.283,0,0.01,26.613,6.26
